ID	カテゴリ	機能名	説明	アクター	入力項目	出力項目	権限	制約条件	優先度	実装状況	備考
1.1.1	ユーザー管理	ユーザー登録	新規ユーザーがアカウントを作成できる	未登録ユーザー	メールアドレス（必須）, パスワード（必須,8文字以上）, 表示名（必須）	ユーザーアカウント	なし	メールアドレス形式検証, パスワード強度検証, 重複メールアドレス検証	高	実装済み	Auth.js使用
1.2.1	ユーザー管理	ユーザーログイン	登録済みユーザーがシステムにログインできる	登録済みユーザー	メールアドレス, パスワード	セッション情報	なし	有効な認証情報が必要	高	実装済み	Auth.js使用
1.3.1	ユーザー管理	プロフィール管理	ユーザーが自身のプロフィールを編集できる	ログインユーザー	表示名, パスワード	更新されたプロフィール	本人のみ	認証が必要	中	実装済み	
2.1.1	チーム管理	チーム作成	ユーザーがチームを作成できる	ログインユーザー	チーム名（必須）, チーム説明（任意）	チーム情報	ログインユーザー	チーム名が必須	高	実装済み	作成者は自動的に管理者
2.2.1	チーム管理	チーム編集	チーム管理者がチーム情報を編集できる	チーム管理者	チーム名, チーム説明	更新されたチーム情報	チーム管理者のみ	管理者権限が必要	中	実装済み	
2.3.1	チーム管理	チーム削除	チーム管理者がチームを削除できる	チーム管理者	チームID	削除完了通知	チーム管理者のみ	所属メンバーがいる場合は削除不可	中	実装済み	
2.4.1	チーム管理	レビュー頻度設定	チームのレビュー頻度を設定できる	チーム管理者	レビュー頻度（週次/隔週/月次）	更新されたチーム設定	チーム管理者のみ	有効な頻度値が必要	中	実装済み	実装で追加された機能
3.1.1	メンバー管理	メンバー招待	チーム管理者が新しいメンバーをチームに招待できる	チーム管理者	招待者メールアドレス	招待情報	チーム管理者のみ	有効なメールアドレスが必要	高	実装済み	
3.2.1	メンバー管理	招待承認	招待されたユーザーがチーム参加を承認できる	招待されたユーザー	招待ID	承認結果	本人のみ	有効な招待が必要	高	実装済み	通知機能と連携
3.1.2	メンバー管理	招待メール送信	メンバー招待時に招待メールを自動送信する	システム	招待情報, 招待者情報, チーム情報	送信完了通知	システム	有効なメールアドレスが必要	高	未実装	招待時にトリガー
3.2.2	メンバー管理	招待通知メール	招待承認/拒否時に招待者に通知メールを送信	システム	承認結果, 招待者情報	送信完了通知	システム	有効な招待が必要	中	未実装	承認/拒否時にトリガー
3.3.1	メンバー管理	メンバー削除	チーム管理者がメンバーをチームから削除できる	チーム管理者	メンバーID	削除完了通知	チーム管理者のみ	自分自身は削除不可	中	実装済み	
3.4.1	メンバー管理	役割割り当て	チーム管理者がメンバーに役割を割り当てられる	チーム管理者	メンバーID, 役割	更新されたメンバー情報	チーム管理者のみ	少なくとも1人の管理者が必要	中	実装済み	管理者/メンバー/閲覧者
5.1.1	OKR管理	チームOKR作成	チーム管理者がチーム全体のOKRを作成できる	チーム管理者	目標タイトル（必須）, 目標説明（任意）, 期間, キーリザルト情報	OKR情報	チーム管理者のみ	目標タイトルが必須	高	実装済み	
5.1.2	OKR管理	個人OKR作成	メンバーが個人のOKRを作成できる	管理者・メンバー	目標タイトル（必須）, 目標説明（任意）, 期間, キーリザルト情報	OKR情報	管理者・メンバー	目標タイトルが必須	高	実装済み	
5.2.1	OKR管理	OKR編集	OKRの内容を編集できる	作成者・チーム管理者	更新する項目	更新されたOKR情報	作成者・チーム管理者	編集権限が必要	中	実装済み	
5.3.1	OKR管理	進捗更新	Key Resultの現在値を更新できる	作成者・チーム管理者	現在値	更新された進捗情報	作成者・チーム管理者	数値形式が必要	高	実装済み	履歴管理あり
5.4.1	OKR管理	OKR検索	OKRをタイトル・説明で検索できる	チームメンバー	検索キーワード, フィルター条件	検索結果一覧	チームメンバー	チームのメンバーである必要	中	実装済み	期間・メンバーでの絞り込み対応
6.1.1	レビュー管理	レビュー作成	OKRの進捗レビューを作成できる	作成者・チーム管理者	進捗状況, 課題・障害, アクションプラン	レビュー情報	作成者・チーム管理者	OKRが存在する必要	高	実装済み	
6.1.2	レビュー管理	レビュー編集	既存のレビューを編集できる	作成者・チーム管理者	更新する項目	更新されたレビュー情報	作成者・チーム管理者	レビューが存在する必要	中	実装済み	
6.1.3	レビュー管理	レビュー削除	不要なレビューを削除できる	作成者・チーム管理者	レビューID	削除完了通知	作成者・チーム管理者	レビューが存在する必要	低	実装済み	
7.1.1	通知管理	通知一覧表示	ユーザーが自分の通知を確認できる	ログインユーザー	なし	通知一覧	本人のみ	認証が必要	中	実装済み	実装で追加された機能
7.1.2	通知管理	通知既読化	通知を既読にできる	ログインユーザー	通知ID	更新結果	本人のみ	通知が存在する必要	中	実装済み	実装で追加された機能
7.1.3	通知管理	全通知既読化	すべての通知を一括で既読にできる	ログインユーザー	なし	更新結果	本人のみ	認証が必要	低	実装済み	実装で追加された機能
7.2.1	通知管理	通知設定管理	通知の受信設定を変更できる	ログインユーザー	通知種別ごとの設定	更新された設定	本人のみ	認証が必要	中	実装済み	実装で追加された機能
7.3.1	通知管理	レビューリマインダー送信	設定された頻度でレビューリマインダーメールを送信	システム	チーム設定, メンバー情報	メール送信結果	システム	通知設定が有効である必要	中	未実装	バッチ処理で実行
7.3.2	通知管理	進捗更新通知メール	進捗更新時にチームメンバーに通知メール送信	システム	進捗情報, チームメンバー情報	メール送信結果	システム	通知設定が有効である必要	中	未実装	進捗更新時にトリガー
7.3.3	通知管理	チーム更新通知メール	チーム情報更新時にメンバーに通知メール送信	システム	チーム更新情報, メンバー情報	メール送信結果	システム	通知設定が有効である必要	低	未実装	チーム更新時にトリガー
8.1.1	活動管理	活動履歴表示	チーム内の活動履歴を確認できる	チームメンバー	なし	活動履歴一覧	チームメンバー	チームのメンバーである必要	低	実装済み	実装で追加された機能
9.1.1	ダッシュボード	総合情報表示	ユーザーのOKR・チーム情報を総合表示	ログインユーザー	なし	ダッシュボード情報	ログインユーザー	認証が必要	高	実装済み	実装で追加された機能
10.1.1	データ管理	データ保持	OKR・レビューデータの無期限保持	システム	なし	なし	システム	なし	高	実装済み	
10.1.2	データ管理	セッション管理	ユーザーセッションの30日間保持	システム	なし	なし	システム	なし	中	実装済み	
10.2.1	データ管理	データ整合性	外部キー制約・トランザクション処理	システム	なし	なし	システム	なし	高	実装済み	Drizzle ORMで実装
11.1.1	認証管理	パスワードリセット	ユーザーがパスワードを忘れた場合にリセットできる	未認証ユーザー	メールアドレス	パスワードリセットメール	なし	有効なメールアドレスが必要	中	未実装	メール送信機能が必要
11.1.2	認証管理	パスワード変更確認	パスワードリセット用トークンでパスワードを変更	未認証ユーザー	リセットトークン, 新パスワード	パスワード更新結果	なし	有効なトークンが必要	中	未実装	
15.1.1	バッチ処理	定期通知処理	定期的にリマインダーや通知を送信	システム	スケジュール設定	処理結果	システム	なし	中	未実装	cron job等で実行
